version_full,title,genre,artist,version,difficulty_short,difficulty,level,notes,kaiden_average,top_score
1st&substream,R3,RAVE,tiger YAMATO,1,SPB,1,-1,-1,-1,-1
1st&substream,R3,RAVE,tiger YAMATO,1,SPN,2,4,330,603,657
1st&substream,R3,RAVE,tiger YAMATO,1,SPH,3,5,368,680,736
1st&substream,R3,RAVE,tiger YAMATO,1,SPA,4,6,454,838,908
1st&substream,R3,RAVE,tiger YAMATO,1,SPL,5,-1,-1,-1,-1
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,SPB,1,-1,-1,-1,-1
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,SPN,2,3,185,354,370
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,SPH,3,3,201,383,402
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,SPA,4,9,556,1017,1104
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,SPL,5,11,1058,1794,2081
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,SPB,1,-1,-1,-1,-1
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,SPN,2,4,398,743,796
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,SPH,3,7,530,964,1054
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,SPA,4,8,581,1043,1162
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,SPL,5,-1,-1,-1,-1
2nd style,.59,CHILL OUT,dj TAKA,2,SPB,1,-1,-1,-1,-1
2nd style,.59,CHILL OUT,dj TAKA,2,SPN,2,4,360,648,717
2nd style,.59,CHILL OUT,dj TAKA,2,SPH,3,6,514,923,1023
2nd style,.59,CHILL OUT,dj TAKA,2,SPA,4,7,584,1075,1166
2nd style,.59,CHILL OUT,dj TAKA,2,SPL,5,-1,-1,-1,-1
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,2,SPB,1,-1,-1,-1,-1
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,2,SPN,2,4,374,692,742
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,2,SPH,3,5,542,977,1067
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,2,SPA,4,6,573,1060,1138
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,2,SPL,5,-1,-1,-1,-1
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,2,SPB,1,-1,-1,-1,-1
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,2,SPN,2,4,390,737,776
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,2,SPH,3,5,483,897,960
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,2,SPA,4,6,537,997,1073
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,2,SPL,5,-1,-1,-1,-1
2nd style,I Was The One,ITALO HOUSE,good-cool,2,SPB,1,-1,-1,-1,-1
2nd style,I Was The One,ITALO HOUSE,good-cool,2,SPN,2,3,272,504,536
2nd style,I Was The One,ITALO HOUSE,good-cool,2,SPH,3,3,326,608,652
2nd style,I Was The One,ITALO HOUSE,good-cool,2,SPA,4,4,348,651,695
2nd style,I Was The One,ITALO HOUSE,good-cool,2,SPL,5,-1,-1,-1,-1
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,SPB,1,-1,-1,-1,-1
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,SPN,2,3,442,826,875
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,SPH,3,5,569,1048,1130
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,SPA,4,8,617,1125,1233
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,SPL,5,-1,-1,-1,-1
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,2,SPB,1,-1,-1,-1,-1
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,2,SPN,2,3,291,539,578
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,2,SPH,3,6,434,814,867
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,2,SPA,4,-1,-1,814,867
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,2,SPL,5,-1,-1,-1,-1
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,2,SPB,1,-1,-1,-1,-1
