バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,1,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,NO PLAY,---,10,1552,766,20,0,FULLCOMBO CLEAR,AAA,2019-01-17 22:24
1st&substream,deep in you,DANCE POP,dj nagureo,1,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,5,652,319,14,0,FULLCOMBO CLEAR,AAA,2019-03-30 20:10
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,1,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,565,275,15,0,FULLCOMBO CLEAR,AAA,2019-08-26 21:30
1st&substream,GAMBOL,BIG BEAT,SLAKE,2,1,0,0,0,---,FULLCOMBO CLEAR,---,1,268,134,0,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-04-25 17:15
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,0,1,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,2,0,0,0,---,NO PLAY,---,7,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
1st&substream,R3,RAVE,tiger YAMATO,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,RUGGED ASH†,FUTURE JAZZ,SYMPHONIC DEFOGGERS,5,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,11,1993,943,107,0,FULLCOMBO CLEAR,AAA,2019-07-29 19:43
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,.59,CHILL OUT,dj TAKA,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,I Was The One,ITALO HOUSE,good-cool,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,1,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,640,316,8,0,FULLCOMBO CLEAR,AAA,2019-02-14 21:58
3rd style,CAN'T STOP FALLIN'IN LOVE,HYPER EUROBEAT,NAOKI,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,1433,654,125,1,HARD CLEAR,AAA,2019-09-06 23:36
3rd style,Holic,HARD TECHNO,TaQ,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,1675,795,85,0,FULLCOMBO CLEAR,AAA,2019-09-06 22:59
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,1,3,0,0,0,---,FULLCOMBO CLEAR,---,8,0,0,0,---,FULLCOMBO CLEAR,---,8,990,482,26,0,FULLCOMBO CLEAR,AAA,2019-09-06 23:11
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1761,872,17,0,FULLCOMBO CLEAR,AAA,2019-09-06 23:33
3rd style,REINCARNATION,TRANCE,dj TAKA,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
3rd style,Schlagwerk,BIG BEAT,TaQ,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1631,783,65,0,FULLCOMBO CLEAR,AAA,2019-09-06 23:23
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,1,0,0,0,---,FULLCOMBO CLEAR,---,2,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
4th style,250bpm,GABBA,AKIRA YAMAOKA,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
4th style,ABSOLUTE,EPIC TRANCE,dj TAKA,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,ABSOLUTE†,EPIC TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
4th style,B4U,SPEED RAVE,NAOKI,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,1,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1268,581,106,7,EX HARD CLEAR,AAA,2019-04-02 20:22
4th style,Clione,DUTCH TRANCE,kors k,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,Clione†,DUTCH TRANCE,kors k,0,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
4th style,DXY!,TECHNO,TaQ,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,empathy,DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
4th style,era (step mix),DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
4th style,FLOWERS for ALBION,AMBIENT,dj TAKA,0,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
4th style,HIGHER,DANCE POP,NM feat. Sunny,0,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
4th style,Hitch Hiker2,WARP HOUSE,good-cool,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,1303,641,21,2,FULLCOMBO CLEAR,AAA,2019-06-06 22:59
4th style,KAMIKAZE,TECHNO,dj nagureo,1,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,2289,1134,21,2,FULLCOMBO CLEAR,AAA,2019-06-06 22:43
4th style,LOVE WILL・・・,TRANCE,riewo,0,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,starmine,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,ULTRA HIGH-HEELS,PARAPARA,dj TAKA feat.ANGEL,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
4th style,Voltage (feat. Hidemaru),BIG BEAT,TaQ,1,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,1274,619,36,2,ASSIST CLEAR,AAA,2019-08-26 21:43
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,3,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,1105,544,17,0,FULLCOMBO CLEAR,AAA,2019-07-24 19:00
5th style,QQQ,TECHNO,TaQ,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
5th style,Radical Faith,BIG BEAT,TaQ,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
5th style,Real,DRUM'N'BASS,Aya,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
5th style,Regulus,INSTRUMENTAL,DJ.W,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
5th style,RIDE ON THE LIGHT (HI GREAT MIX),POWER FUSION,Mr.T,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,POWER FUSION,Mr.T,0,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
5th style,RISLIM,NEW ROMANTIC,ric,1,4,0,0,0,---,NO PLAY,---,7,1206,582,42,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-06-10 20:37
5th style,Spin the disc,HOUSE,good-cool,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,8,0,0,0,---,NO PLAY,---,2018-11-08 23:21
5th style,STILL IN MY HEART,HYPER EUROBEAT,NAOKI,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
5th style,sync,TRANCE,OutPhase (TaQ/dj TAKA),0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
5th style,V,PROGRESSIVE,TAKA,14,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,12,2872,1369,134,1,FULLCOMBO CLEAR,AAA,2019-08-08 22:20
6th style,19，November,HOUSE,good-cool,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
6th style,Buffalo,ROCK,good-cool feat. Hideo Suwa,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
6th style,Colors (radio edit),TRANCE,dj TAKA,2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,12,2377,1138,101,9,EX HARD CLEAR,AAA,2019-06-12 19:13
6th style,DIVE ～INTO YOUR HEART～,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2039,977,85,0,FULLCOMBO CLEAR,AAA,2019-02-14 22:11
6th style,fly through the night,TRANCE,Mr.T,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,2018-11-08 23:21
6th style,Frozen Ray (original mix),TRANCE,dj TAKA,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
6th style,G2,DRUM'N'BASS,Aya,1,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2240,1065,110,9,FULLCOMBO CLEAR,AAA,2019-06-11 21:04
6th style,Linus,LOUNGE POP,LEGO STUDIO,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
6th style,NEMESIS,TECHNO,D.J.SETUP,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1776,832,112,10,FULLCOMBO CLEAR,AAA,2019-06-07 20:09
6th style,rottel-da-sun,ROTTERDAM TECHNO,sampling masters MEGA,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
6th style,SOMETHING WONDERFUL,EPIC TRANCE,L.E.D.,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
6th style,Summer Vacation(CU mix),TRIP HOP,OutPhase,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
6th style,Take It Easy,INSTRUMENTAL,Aya,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,11,0,0,0,---,EX HARD CLEAR,---,2018-11-08 23:21
6th style,VJ ARMY,ALL MIX,good-cool,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2148,1003,142,1,EX HARD CLEAR,AAA,2019-08-23 21:57
6th style,こっちを向いてよ,SOUL,vivi,1,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,1362,660,42,0,FULLCOMBO CLEAR,AAA,2019-06-11 20:27
6th style,電人イェーガーのテーマ(Theme of DENJIN J),NU-NRG,L.E.D.,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,EX HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
7th style,A,RENAISSANCE,D.J.Amuro,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,12,2435,1177,81,0,FULLCOMBO CLEAR,AAA,2019-04-25 15:35
7th style,AVE DE RAPINA,ALTERNATIVE HOUSE,Shawn The Horny Master,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,Bad Routine,FILTER HOUSE,D.J. Spugna,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,HARD CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,Cheer Train,BIG BEAT,Fuzita Blender,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,D2R,HYPER ROCK BEAT,NAOKI,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,2018-11-08 23:21
7th style,foreplay,PROGRESSIVE JAZZ,Osamu Kubota,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,Glorious Days,HIP HOP&SOUL,Noria,1,3,0,0,0,---,NO PLAY,---,5,806,395,16,0,FULLCOMBO CLEAR,AAA,6,0,0,0,---,NO PLAY,---,2019-08-29 21:36
7th style,Happy Wedding,HOUSE,ASKA,0,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,Last Message,EUROBEAT,good-cool feat. Meg,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
7th style,Love Me Do,NEW WAVE,AKIRA YAMAOKA,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,2064,1010,44,2,FULLCOMBO CLEAR,AAA,2019-05-20 16:40
7th style,MAX 300,HARDCORE TECHNO,Ω,1,8,0,0,0,---,NO PLAY,---,10,1785,816,153,1,ASSIST CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-02-14 22:27
7th style,Spica,HOUSE,D.JW,7,4,0,0,0,---,CLEAR,---,9,0,0,0,---,NO PLAY,---,11,2187,1029,129,4,FULLCOMBO CLEAR,AAA,2019-06-06 22:19
7th style,stoic,TECHNO,TaQ,0,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,Tomorrow Perfume,TRANCE,dj TAKA,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
7th style,traces,TRANCE,TaQ,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,ZERO-ONE,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,EX HARD CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
7th style,革命,ORCHESTRAL,dj TAKA with NAOKI,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,airflow,INSTRUMENTAL,Mr.T,0,3,0,0,0,---,FULLCOMBO CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2018-11-08 23:21
8th style,Attitude,TRANCE,Y&Co.,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,bit mania,テクノ歌謡,AKIRA YAMAOKA,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,Blame,EUROBEAT,good-cool feat. Jeff Coote,1,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,1919,939,41,1,FULLCOMBO CLEAR,AAA,2018-12-24 20:53
8th style,Colors -Y&Co. Eurobeat Remix-,EUROBEAT,dj TAKA (remixed by 横田商会),0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2018-11-08 23:21
8th style,dual control,GARAGE HOUSE,Mr.T,1,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1844,885,74,0,FULLCOMBO CLEAR,AAA,2019-06-07 19:50
8th style,Giudecca,PSYCHEDELIC TECHNO,D.J.SETUP,1,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,11,2598,1221,156,0,FULLCOMBO CLEAR,AAA,2019-01-22 21:32
8th style,Halfway of promise,GIRL ROCK,Yu Takami feat. Shihori Nakane,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1796,862,72,1,FULLCOMBO CLEAR,AAA,2019-08-22 19:46
8th style,LAB,RAVE,RAM,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,10,2066,995,76,1,HARD CLEAR,AAA,2018-11-08 23:59
8th style,LOVE IS ORANGE,HARD CHANSON,Orange Lounge,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,memories,BEAT ROCK,TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,Monkey Dance,EUROBEAT,Y&Co.,1,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1907,913,81,0,FULLCOMBO CLEAR,AAA,2019-08-12 22:42
8th style,murmur twins,CUDDLECORE,yu_tokiwa.djw,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,MUSIC TO YOUR HEAD,TECHNO,SLAKE,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,PLEASE DON'T GO,DISCO,ASLETICS,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,12,2354,1116,122,7,EX HARD CLEAR,AAA,2019-06-10 20:08
8th style,rainbow flyer,TRANCE,dj TAKA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,11,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,symbolic,TECHNO,TaQ,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2018-11-08 23:21
8th style,thunder,HOUSE,Lion MUSASHI,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
8th style,WAR GAME,HIP HOP,ASLETICS,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
8th style,xenon,ELECTROSHOCK,Mr.T,3,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,11,2659,1282,95,0,FULLCOMBO CLEAR,AAA,2018-12-24 21:07
8th style,桜,SPIRITUAL,Reven-G,4,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,12,2062,972,118,13,EX HARD CLEAR,AAA,2019-03-30 23:04
8th style,蒼い衝動,J-TRANCE,NAOKI feat.YUKI,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,Abyss -The Heavens Remix-,TRANCE CORE,dj TAKA Remixed by Ryu☆,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,ACT,RAVE,RAM,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,ATOMIC AGE,ENSEMBLE,SHUNZZY,2,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1286,612,62,0,FULLCOMBO CLEAR,AAA,2019-06-06 23:38
9th style,BAD BOY BASS!! (dj Remo-con MIX),NRG,Y&Co.,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,2018-11-08 23:21
9th style,bag,SPIRITUAL,Reven-G,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,BRIGHTNESS DARKNESS,ROCOCO TEK,SPARKER,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
9th style,Cradle,HEALIN' HARDCORE,positive MA feat.akino,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,Distress,MIXTURE,dj TAKA Remixed by TaQ,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
9th style,e-motion 2003 -romantic extra-,TRANCE,e.o.s. Remixed by dj TAKA,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,Golden Horn,TURKISH PIANO'N'BASS,Osamu Kubota,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
9th style,HYPER EUROBEAT (2DX style),EUROBEAT,NAOKI feat.PAULA TERRY,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
